Reference,Gene,Peptide,Measurement,Culture_Protein,25%,75%,Culture_mRNA ,s.e.m.,Sorted_Progenitor_mRNA,Sorted_Neutrophil_mRNA,neut_dev_mRNA,tp8mer,tp7m8,tp7A1,orf8mer,orf7m8,orf7A1,fp8mer,fp7m8,fp7A1
NM_011361,Sgk1,-,-,-,-,-,-0.134 ,0.033 ,0.122 ,0.046 ,1.289 ,0,0,0,0,0,0,0,0,0
NM_010768,Matk,-,-,-,-,-,-0.151 ,0.151 ,-0.289 ,0.181 ,-2.267 ,0,0,0,0,0,0,0,0,0
NM_001013441,Ric8b,-,-,-,-,-,-0.062 ,0.026 ,-0.069 ,-0.108 ,-0.012 ,0,0,0,0,0,1,0,0,0
NM_001081688,Tmprss9,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_027830,Mcm9,-,-,-,-,-,0.041 ,0.086 ,-0.082 ,0.092 ,0.082 ,0,0,0,0,1,0,0,0,0
NM_028006,Tube1,-,-,-,-,-,0.051 ,0.028 ,0.040 ,-0.016 ,-0.519 ,0,0,0,0,0,0,0,0,0
NM_020565,Sult3a1,-,-,-,-,-,-0.009 ,0.049 ,0.011 ,-0.114 ,-0.003 ,0,0,0,0,0,0,0,0,0
NM_183254,1700025k23rik,-,-,-,-,-,-0.080 ,0.070 ,0.107 ,-0.182 ,-0.415 ,0,0,0,0,0,0,0,0,0
NM_028230,Shmt2,24,107,0.054 ,0.008 ,0.107 ,-0.240 ,0.062 ,0.005 ,0.173 ,-3.686 ,0,1,0,0,0,1,0,0,0
NM_145423,Slc5a8,-,-,-,-,-,0.172 ,0.118 ,0.089 ,-0.096 ,0.256 ,0,0,0,0,0,0,0,0,0
NM_078477,Klf16,-,-,-,-,-,0.328 ,0.109 ,0.208 ,0.032 ,-0.767 ,0,0,0,0,0,0,0,0,0
NM_177772,Bpil2,-,-,-,-,-,-0.426 ,0.128 ,-0.825 ,-0.204 ,-3.948 ,0,0,0,0,0,0,0,0,0
NM_198636,Acss3,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_009846,Cd24a,-,-,-,-,-,-0.032 ,0.014 ,-0.103 ,-0.156 ,0.832 ,0,0,0,0,0,0,0,0,0
NM_145418,Bc013529,-,-,-,-,-,0.069 ,0.019 ,-0.054 ,0.090 ,0.726 ,0,0,0,0,0,0,0,0,0
NM_029971,Pmch,-,-,-,-,-,0.043 ,0.126 ,0.167 ,-0.098 ,-0.135 ,0,0,0,0,0,0,0,0,0
NM_008398,Itga7,-,-,-,-,-,0.140 ,0.097 ,0.098 ,-0.045 ,0.327 ,0,0,0,1,0,0,0,0,0
NM_175195,3110056o03rik,-,-,-,-,-,-0.031 ,0.059 ,0.105 ,0.116 ,-0.751 ,0,0,0,0,0,0,0,0,0
NM_008553,Ascl1,-,-,-,-,-,0.194 ,0.094 ,0.204 ,0.129 ,0.312 ,0,0,0,0,0,0,0,0,0
NM_177612,Ctnna3,-,-,-,-,-,0.209 ,0.055 ,0.234 ,-0.191 ,0.061 ,0,0,0,0,0,0,0,0,0
NM_025859,Arl1,8,36,0.136 ,0.094 ,0.246 ,0.147 ,0.042 ,0.033 ,0.210 ,-1.305 ,0,0,0,0,0,0,0,0,0
NM_028197,2510003e04rik,2,4,0.727 ,-0.492 ,0.988 ,0.016 ,0.064 ,0.023 ,0.014 ,-0.522 ,0,0,0,0,0,0,0,0,0
NM_001042558,Apaf1,37,107,-0.001 ,-0.065 ,0.070 ,-0.270 ,0.047 ,0.021 ,-0.228 ,0.243 ,0,0,0,0,0,0,0,0,0
NM_001033466,Zbtb2,1,2,-0.076 ,-0.097 ,-0.056 ,0.089 ,0.056 ,0.015 ,0.230 ,0.360 ,0,0,0,0,0,1,0,0,0
NM_018758,Apba3,-,-,-,-,-,-0.024 ,0.046 ,0.052 ,0.090 ,-0.095 ,0,0,0,0,0,0,0,0,0
NM_207522,Bc067068,-,-,-,-,-,0.100 ,0.028 ,0.040 ,0.061 ,-0.824 ,0,0,0,0,0,0,0,0,0
NM_026579,D10wsu102e,-,-,-,-,-,-0.056 ,0.064 ,0.102 ,0.274 ,-1.875 ,0,0,1,0,0,0,0,0,0
NM_018747,Akap7,-,-,-,-,-,0.043 ,0.066 ,-0.012 ,-0.114 ,0.175 ,0,0,0,0,0,0,0,0,0
NM_177613,Cdc34,2,2,-0.516 ,-0.565 ,-0.467 ,-0.100 ,0.046 ,0.079 ,-0.109 ,-0.818 ,0,0,0,0,0,0,0,0,0
NM_001017525,Btbd11,-,-,-,-,-,0.558 ,0.035 ,-0.196 ,1.157 ,-0.928 ,0,0,0,0,0,1,0,0,0
NM_172554,Zdhhc17,-,-,-,-,-,0.230 ,0.183 ,0.236 ,0.246 ,0.033 ,0,0,1,0,0,0,0,0,0
NM_020561,Smpdl3a,3,9,0.797 ,0.675 ,1.201 ,0.716 ,0.098 ,-0.442 ,0.388 ,2.307 ,0,0,0,1,0,0,0,0,0
NM_011789,Apc2,-,-,-,-,-,0.102 ,0.154 ,0.153 ,0.020 ,0.049 ,0,0,1,0,0,1,0,0,0
NM_145743,Lace1,-,-,-,-,-,0.190 ,0.084 ,-0.044 ,0.272 ,-0.254 ,0,0,0,0,0,1,0,0,0
NM_001113385,Bc021785,-,-,-,-,-,0.089 ,0.158 ,0.054 ,-0.066 ,0.219 ,0,0,0,0,0,0,0,0,0
NM_010347,Aes,1,3,0.045 ,-0.574 ,0.046 ,0.222 ,0.087 ,-0.111 ,0.070 ,1.345 ,0,0,0,0,0,0,0,0,0
NM_009040,Rdh16,-,-,-,-,-,0.131 ,0.162 ,0.303 ,-0.024 ,0.010 ,0,0,0,0,0,0,0,0,0
NM_019965,Dnajb12,-,-,-,-,-,0.232 ,0.038 ,0.025 ,0.162 ,-0.027 ,0,0,0,0,0,0,0,0,0
NM_144822,Cbara1,2,2,-0.369 ,-0.422 ,-0.315 ,-0.200 ,0.282 ,-1.121 ,-0.981 ,0.990 ,0,0,0,0,1,0,0,0,0
NM_009719,Neurog3,-,-,-,-,-,0.003 ,0.101 ,0.300 ,0.049 ,0.031 ,0,0,0,0,0,0,0,0,0
NM_001110197,Rnf146,-,-,-,-,-,0.048 ,0.034 ,-0.057 ,0.086 ,0.592 ,0,0,1,0,1,0,0,0,0
NM_182959,Slc17a8,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_198614,4932409i22rik,-,-,-,-,-,-0.014 ,0.167 ,0.013 ,-0.119 ,0.450 ,0,0,1,0,0,0,0,0,0
NM_019648,Metap2,14,68,-0.009 ,-0.232 ,0.103 ,-0.180 ,0.131 ,0.124 ,0.301 ,-1.252 ,0,1,0,0,0,0,0,0,0
NM_001098789,Ndufa4l2,-,-,-,-,-,0.123 ,0.042 ,-0.010 ,-0.074 ,0.184 ,0,0,0,0,0,0,0,0,0
NM_153195,Fbxo7,-,-,-,-,-,-0.006 ,0.063 ,-0.339 ,0.288 ,-0.762 ,0,0,0,0,0,0,0,0,0
NM_001025581,Kcnc2,-,-,-,-,-,0.043 ,0.082 ,0.086 ,-0.011 ,0.128 ,0,0,0,0,0,0,0,0,0
NM_175448,Rlbp1l2,-,-,-,-,-,0.065 ,0.103 ,0.046 ,0.050 ,-0.035 ,0,0,0,0,0,0,0,0,0
NM_026141,Ppil4,3,7,-0.176 ,-0.186 ,-0.161 ,-0.092 ,0.041 ,-0.017 ,0.090 ,-0.102 ,0,0,0,0,0,0,0,0,0
NM_001039080,Rbms2,-,-,-,-,-,0.629 ,0.246 ,0.227 ,0.517 ,-0.839 ,1,0,0,0,0,0,0,0,0
NM_001113355,Vps26a,5,11,-0.261 ,-0.414 ,-0.106 ,-0.046 ,0.034 ,-0.158 ,-0.079 ,0.402 ,0,0,0,0,1,0,0,0,0
NM_145365,Creb3l3,-,-,-,-,-,0.172 ,0.071 ,0.097 ,-0.309 ,-0.019 ,0,0,1,0,0,0,0,0,0
NM_021882,Si,-,-,-,-,-,-0.063 ,0.067 ,0.076 ,-0.038 ,0.423 ,0,0,0,0,0,0,0,0,0
NM_010124,Eif4ebp2,-,-,-,-,-,0.109 ,0.095 ,0.090 ,0.004 ,0.171 ,0,0,0,0,0,0,0,0,0
NM_026482,Atp2b1,11,21,0.679 ,0.516 ,0.838 ,0.287 ,0.135 ,-0.009 ,-0.004 ,0.710 ,1,0,0,0,0,1,0,0,0
NM_010214,Fhl4,-,-,-,-,-,-0.038 ,0.096 ,0.034 ,-0.101 ,-0.099 ,0,0,0,0,0,0,1,0,0
NM_175128,4930430f08rik,-,-,-,-,-,-0.638 ,0.115 ,-0.057 ,-0.156 ,-2.113 ,0,0,0,0,0,0,0,0,0
NM_177306,Rfxdc1,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_010731,Zbtb7a,-,-,-,-,-,-0.031 ,0.167 ,-0.061 ,0.053 ,0.813 ,0,0,1,0,0,0,0,0,0
NM_013591,Madcam1,-,-,-,-,-,0.081 ,0.185 ,0.022 ,0.103 ,0.524 ,0,0,0,0,0,0,0,0,0
NM_153543,Aldh1l2,-,-,-,-,-,0.130 ,0.091 ,-0.377 ,-0.650 ,-1.620 ,0,0,3,0,0,0,0,0,0
NM_011517,Sycp3,-,-,-,-,-,-0.018 ,0.119 ,0.011 ,-0.017 ,-0.272 ,0,0,0,0,0,0,0,0,0
NM_019553,Ddx21,41,496,-0.040 ,-0.149 ,0.047 ,-0.261 ,0.051 ,0.725 ,0.091 ,-3.227 ,0,0,0,0,0,0,0,0,0
NM_001113548,Adamtsl5,-,-,-,-,-,-0.039 ,0.021 ,0.125 ,-0.028 ,0.187 ,0,0,0,0,0,0,0,0,0
NM_173733,Suox,-,-,-,-,-,0.085 ,0.095 ,-0.033 ,-0.124 ,-1.615 ,0,0,0,0,0,0,0,0,0
NM_023115,Pcdh15,-,-,-,-,-,0.066 ,0.219 ,-0.125 ,0.058 ,0.336 ,0,0,1,0,1,0,0,0,0
NM_177707,Stac3,-,-,-,-,-,0.141 ,0.179 ,0.269 ,-0.212 ,0.173 ,0,0,0,0,0,0,0,1,0
NM_001111121,Ccdc6,-,-,-,-,-,-0.114 ,0.127 ,-0.013 ,0.179 ,-1.156 ,0,0,0,0,0,0,0,0,0
NM_010146,Epm2a,-,-,-,-,-,-0.035 ,0.099 ,0.037 ,-0.211 ,0.177 ,0,0,0,0,0,0,0,0,0
NM_175451,Ckap4,34,243,-0.097 ,-0.150 ,-0.016 ,-0.040 ,0.063 ,-0.066 ,-0.309 ,1.960 ,0,0,0,0,0,0,0,0,0
NM_001003949,Orf61,-,-,-,-,-,0.114 ,0.041 ,0.066 ,0.167 ,0.103 ,0,0,0,0,0,0,0,0,0
NM_178934,Slc2a12,-,-,-,-,-,0.035 ,0.045 ,-0.270 ,-0.108 ,0.333 ,0,0,0,0,0,0,0,0,0
NM_007880,Arid3a,4,10,-0.257 ,-0.424 ,-0.105 ,-0.150 ,0.222 ,-0.126 ,-0.102 ,1.433 ,0,0,0,0,0,0,0,0,0
NM_001013370,Sesn1,-,-,-,-,-,0.035 ,0.081 ,-0.294 ,0.000 ,-1.226 ,0,0,0,0,0,0,0,0,0
NM_019929,Sumo3,-,-,-,-,-,-0.169 ,0.030 ,0.147 ,-0.114 ,-1.536 ,0,0,0,0,0,0,0,0,0
NM_175374,Mtrf1l,-,-,-,-,-,0.054 ,0.095 ,0.201 ,0.257 ,-1.030 ,0,0,0,0,0,0,0,0,0
NM_175329,Ndg2,-,-,-,-,-,-0.406 ,0.145 ,0.151 ,0.215 ,-2.534 ,0,0,0,0,0,0,0,0,0
NM_001007583,Best3,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_026094,Atp8b3,-,-,-,-,-,-0.012 ,0.093 ,0.073 ,-0.174 ,0.437 ,0,0,0,0,0,0,0,0,0
NM_182807,Ai851790,-,-,-,-,-,0.117 ,0.142 ,0.042 ,0.072 ,0.234 ,0,0,1,0,0,0,0,0,0
NM_173732,Tmem194,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0
NM_013888,Dnajc12,-,-,-,-,-,-0.183 ,0.074 ,-0.257 ,-0.157 ,-0.277 ,0,0,0,0,0,0,0,0,0
NM_007460,Ap3d1,17,81,-0.039 ,-0.151 ,0.071 ,-0.101 ,0.048 ,-0.147 ,-0.102 ,0.601 ,0,0,0,0,0,0,0,0,0
NM_008538,Marcks,2,4,-1.445 ,-2.011 ,-0.738 ,0.051 ,0.142 ,-1.119 ,-0.213 ,3.402 ,0,0,0,0,0,0,0,0,0
NM_007907,Eef2,47,1038,0.003 ,-0.050 ,0.067 ,0.083 ,0.099 ,-0.073 ,0.054 ,-0.818 ,0,0,0,0,0,1,0,0,0
NM_008517,Lta4h,40,697,0.179 ,0.143 ,0.233 ,0.013 ,0.045 ,-0.218 ,0.103 ,0.359 ,0,0,0,0,0,0,0,0,0
NM_023138,Map2k2,11,28,0.103 ,0.067 ,0.293 ,-0.023 ,0.046 ,0.269 ,0.065 ,-0.096 ,0,0,0,0,0,0,0,0,0
NM_023129,Pln,-,-,-,-,-,0.079 ,0.115 ,0.000 ,-0.121 ,0.325 ,0,0,0,0,0,0,0,0,0
NM_010237,Frk,-,-,-,-,-,0.203 ,0.005 ,0.046 ,-0.252 ,-0.043 ,0,0,0,0,0,0,0,0,0
NM_025446,Aig1,-,-,-,-,-,0.397 ,0.189 ,-0.248 ,0.394 ,-0.770 ,0,0,0,0,0,0,0,0,0
NM_028027,D10ertd610e,-,-,-,-,-,0.083 ,0.037 ,0.104 ,0.031 ,0.189 ,0,0,0,0,2,0,0,0,0
NM_010349,Grik2,-,-,-,-,-,-0.058 ,0.077 ,-0.029 ,-0.207 ,-0.003 ,0,0,0,0,0,0,0,0,0
NM_183199,Usp44,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_013611,Nodal,-,-,-,-,-,-0.033 ,0.118 ,0.108 ,0.122 ,0.340 ,0,0,0,0,0,0,0,0,0
NM_008655,Gadd45b,-,-,-,-,-,0.298 ,0.038 ,0.163 ,0.413 ,0.697 ,0,0,0,0,0,0,0,0,0
NM_177706,Eg237300,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_025514,D10ertd641e,-,-,-,-,-,0.107 ,0.049 ,0.027 ,0.259 ,0.099 ,0,0,0,0,0,0,0,0,0
NM_001025286,Nkain2,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001033264,Gls2,-,-,-,-,-,-0.100 ,0.157 ,0.173 ,-0.191 ,-0.204 ,0,0,0,0,0,0,0,0,0
NM_026444,Cs,18,92,0.203 ,0.142 ,0.269 ,0.048 ,0.054 ,-0.086 ,0.138 ,-0.114 ,0,1,0,0,0,0,0,0,0
NM_172788,Sh3md4,-,-,-,-,-,-0.056 ,0.130 ,0.018 ,-0.117 ,0.443 ,0,0,0,0,0,0,0,0,0
NM_053244,Kiss1r,-,-,-,-,-,-0.050 ,0.049 ,-0.115 ,-0.054 ,1.379 ,0,0,0,0,0,0,0,0,0
NM_176837,Arhgap18,-,-,-,-,-,0.187 ,0.087 ,-0.117 ,-0.136 ,0.030 ,0,0,0,0,0,0,0,0,0
NM_019487,Hebp2,-,-,-,-,-,0.094 ,0.101 ,0.158 ,-0.167 ,0.298 ,0,0,0,0,0,0,0,0,0
NM_172546,Cnksr3,-,-,-,-,-,0.180 ,0.159 ,0.285 ,0.816 ,-2.329 ,0,0,0,0,0,0,0,0,0
NM_001079824,Hnrph3,-,-,-,-,-,-0.096 ,0.064 ,0.058 ,0.114 ,-0.592 ,0,0,0,0,0,0,0,0,0
NM_001033257,Phactr2,-,-,-,-,-,-0.006 ,0.078 ,-0.057 ,-0.254 ,-0.194 ,0,0,1,0,0,0,0,0,0
NM_184052,Igf1,-,-,-,-,-,0.071 ,0.123 ,-0.017 ,-0.012 ,0.408 ,0,0,0,0,0,1,0,0,0
NM_026937,Ascc1,-,-,-,-,-,0.332 ,0.080 ,-0.176 ,0.221 ,-0.560 ,0,0,0,0,0,0,0,0,0
NM_023128,Palm,3,6,0.049 ,0.018 ,0.243 ,0.081 ,0.187 ,-0.075 ,-0.296 ,0.244 ,0,0,0,0,0,0,0,0,0
NM_001080134,Tmpo,9,95,0.148 ,-0.024 ,0.247 ,-0.188 ,0.200 ,-0.330 ,0.067 ,0.568 ,0,0,0,0,0,0,0,0,0
NM_178679,Zfp365,-,-,-,-,-,0.146 ,0.059 ,0.048 ,0.138 ,0.273 ,0,0,0,0,0,0,0,0,0
NM_024440,Derl3,-,-,-,-,-,-0.097 ,0.068 ,0.035 ,-0.255 ,-0.160 ,0,0,0,0,0,0,0,0,0
NM_025995,Fbxo5,-,-,-,-,-,-0.086 ,0.018 ,-0.043 ,0.075 ,-0.625 ,0,0,0,0,0,0,0,0,0
NM_025635,Zwint,-,-,-,-,-,-0.372 ,0.225 ,0.221 ,0.242 ,-0.558 ,0,0,0,0,0,0,0,0,0
NM_001003913,Mars,34,152,0.063 ,-0.045 ,0.142 ,-0.066 ,0.021 ,-0.065 ,0.109 ,-1.870 ,0,0,0,0,0,0,0,0,0
NM_025914,Actr6,-,-,-,-,-,0.033 ,0.086 ,0.005 ,-0.058 ,-0.659 ,0,0,0,0,0,0,0,0,0
NM_008226,Hcn2,-,-,-,-,-,-0.008 ,0.083 ,0.035 ,-0.198 ,0.148 ,0,0,0,0,0,0,0,0,0
NM_172508,Dse,-,-,-,-,-,-0.243 ,0.129 ,0.196 ,-0.224 ,0.567 ,0,0,0,0,1,0,0,0,0
NM_053069,Atg5,5,12,-0.255 ,-0.541 ,-0.075 ,0.053 ,0.018 ,-0.183 ,-0.014 ,0.473 ,0,0,0,1,0,0,0,0,0
NM_019575,Scamp4,-,-,-,-,-,-0.066 ,0.036 ,0.199 ,0.137 ,-1.457 ,0,0,0,0,0,0,0,0,0
NM_019725,Tle2,-,-,-,-,-,0.024 ,0.103 ,0.119 ,0.073 ,0.058 ,0,0,0,0,0,0,0,0,0
NM_011682,Utrn,44,80,0.249 ,0.059 ,0.421 ,0.159 ,0.070 ,-0.268 ,-0.012 ,0.617 ,0,0,0,1,1,0,0,0,0
NM_027423,Polr3b,-,-,-,-,-,-0.204 ,0.095 ,-0.006 ,0.042 ,-0.505 ,0,0,0,1,0,0,0,0,0
NM_007412,Gpr182,-,-,-,-,-,-0.002 ,0.044 ,-0.011 ,-0.101 ,0.411 ,0,0,0,0,0,0,0,0,0
NM_172051,Tmcc3,-,-,-,-,-,0.174 ,0.237 ,-0.071 ,0.513 ,1.882 ,0,0,1,0,0,0,0,0,0
NM_010437,Hivep2,-,-,-,-,-,0.237 ,0.022 ,-0.211 ,0.221 ,1.263 ,0,0,0,1,0,0,0,0,0
NM_008481,Lama2,-,-,-,-,-,0.095 ,0.096 ,-0.020 ,0.194 ,0.302 ,0,0,0,0,0,0,0,0,0
NM_029875,Slc35e3,-,-,-,-,-,-0.013 ,0.143 ,-0.095 ,-0.040 ,-1.149 ,0,0,1,0,0,0,0,0,0
NM_025982,Tspan31,-,-,-,-,-,0.184 ,0.046 ,0.023 ,0.135 ,-0.666 ,0,0,0,0,0,0,0,0,0
NM_027892,Ppp1r12a,10,26,0.129 ,-0.104 ,0.177 ,-0.136 ,0.067 ,-0.029 ,0.039 ,1.415 ,0,0,0,0,1,0,0,0,0
NM_176919,Ppm1h,2,2,0.188 ,-0.221 ,0.596 ,0.084 ,0.109 ,-0.205 ,0.139 ,0.348 ,0,0,0,0,0,0,0,0,0
NM_007828,Dapk3,-,-,-,-,-,-0.066 ,0.064 ,0.078 ,0.205 ,-0.610 ,0,0,0,0,0,0,0,0,0
NM_010255,Gamt,-,-,-,-,-,0.206 ,0.158 ,-0.351 ,0.257 ,0.084 ,0,0,0,0,0,0,0,0,0
NM_019803,Ube2g2,4,21,-0.113 ,-0.257 ,0.123 ,-0.183 ,0.042 ,0.083 ,0.027 ,-0.762 ,0,0,0,0,0,0,0,0,0
NM_133485,Ppp1r14c,-,-,-,-,-,0.099 ,0.114 ,0.214 ,0.294 ,0.642 ,0,0,0,0,0,0,0,0,0
NM_172457,Mobkl2a,2,2,-0.262 ,-0.407 ,-0.117 ,-0.053 ,0.076 ,-0.110 ,-0.215 ,1.024 ,0,0,0,0,0,0,0,0,0
NM_019953,Cnpy2,11,47,0.026 ,-0.065 ,0.118 ,0.060 ,0.035 ,-0.096 ,0.224 ,-1.380 ,0,0,0,0,0,0,0,0,0
NM_007833,Dcn,-,-,-,-,-,-0.134 ,0.174 ,-0.148 ,-0.132 ,0.268 ,0,0,0,0,0,0,0,0,0
NM_009809,Casp14,-,-,-,-,-,0.215 ,0.137 ,0.005 ,0.050 ,0.253 ,0,0,0,1,0,0,0,0,0
NM_152229,Nr2e1,-,-,-,-,-,-0.103 ,0.100 ,0.073 ,-0.020 ,0.202 ,0,0,0,0,0,1,0,0,0
NM_001042580,Cd63,3,23,0.063 ,-0.008 ,0.210 ,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_008606,Mmp11,-,-,-,-,-,0.129 ,0.062 ,-0.050 ,-0.103 ,0.300 ,0,0,0,0,1,0,0,0,0
NM_001037848,Cnot2,-,-,-,-,-,-0.038 ,0.052 ,0.105 ,0.099 ,-0.075 ,0,0,0,0,0,0,0,0,0
NM_001002268,Gpr126,-,-,-,-,-,-0.045 ,0.213 ,0.113 ,0.245 ,0.090 ,0,1,0,0,0,0,0,0,0
NM_134135,Slc39a3,-,-,-,-,-,-0.033 ,0.067 ,0.042 ,-0.126 ,0.503 ,0,1,0,0,0,0,0,0,0
NM_013875,Pde7b,-,-,-,-,-,-0.184 ,0.062 ,-0.085 ,-0.255 ,0.159 ,0,0,0,0,0,0,0,0,0
NM_013595,Mbd3,-,-,-,-,-,0.014 ,0.070 ,0.371 ,0.532 ,-1.396 ,0,0,0,0,0,0,0,0,0
NM_028604,Trmt11,-,-,-,-,-,-0.062 ,0.135 ,0.172 ,0.078 ,-2.820 ,0,0,0,0,0,0,0,0,0
NM_025799,Fuca2,-,-,-,-,-,0.183 ,0.157 ,-0.245 ,-0.125 ,0.339 ,0,0,0,0,0,0,0,0,0
NM_133998,1810008a18rik,-,-,-,-,-,-0.126 ,0.020 ,-0.128 ,-0.035 ,-0.211 ,0,0,0,0,0,0,0,0,0
NM_001013766,Samd3,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_008682,Nedd1,6,10,0.016 ,-0.026 ,0.064 ,-0.282 ,0.066 ,0.021 ,-0.248 ,-0.971 ,0,0,0,0,0,0,0,0,0
NM_026259,Rnf41,-,-,-,-,-,-0.041 ,0.027 ,0.060 ,0.148 ,0.040 ,0,0,1,0,0,0,0,0,0
NM_008657,Myf6,-,-,-,-,-,0.025 ,0.065 ,0.096 ,-0.018 ,0.186 ,0,0,0,0,0,0,0,0,0
NM_023304,Fgf22,-,-,-,-,-,-0.034 ,0.153 ,0.166 ,-0.271 ,0.358 ,0,0,0,0,0,0,0,0,0
NM_001081347,Rhobtb1,-,-,-,-,-,0.092 ,0.052 ,-0.076 ,0.095 ,-0.001 ,0,0,0,0,0,0,0,0,0
NM_010304,Gna15,-,-,-,-,-,-0.005 ,0.036 ,0.247 ,0.055 ,-0.048 ,0,0,0,0,0,0,0,0,0
NM_027151,Dctn2,15,45,0.059 ,-0.020 ,0.150 ,0.285 ,0.017 ,-0.101 ,0.042 ,0.740 ,0,0,0,0,0,0,0,0,0
NM_027772,Pdss2,-,-,-,-,-,0.087 ,0.177 ,0.128 ,0.009 ,-0.104 ,0,0,0,0,0,0,0,0,0
NM_001004363,Nuak1,-,-,-,-,-,0.392 ,0.139 ,0.196 ,0.453 ,0.871 ,0,0,0,0,0,0,0,0,0
NM_019757,Fzr1,-,-,-,-,-,-0.180 ,0.028 ,0.057 ,-0.100 ,-0.053 ,0,0,0,0,0,0,0,0,0
NM_010272,Gdf11,-,-,-,-,-,-0.029 ,0.088 ,-0.093 ,0.025 ,0.473 ,0,0,0,0,0,0,0,0,0
NM_026268,Dusp6,-,-,-,-,-,-0.258 ,0.138 ,0.055 ,-0.547 ,-0.223 ,0,0,0,0,0,0,0,0,0
NM_007793,Cstb,4,49,-0.314 ,-0.358 ,-0.216 ,-0.350 ,0.116 ,-0.769 ,-0.145 ,-0.327 ,0,0,0,0,0,0,0,0,0
NM_027381,2510012j08rik,-,-,-,-,-,-0.103 ,0.080 ,0.203 ,-0.048 ,-0.798 ,0,0,0,0,0,0,0,0,0
NM_175489,Osbpl8,15,55,-0.103 ,-0.261 ,-0.011 ,-0.102 ,0.057 ,-0.263 ,-0.191 ,-0.345 ,0,0,0,0,0,0,0,0,0
NM_001114097,Smarcc2,12,86,0.038 ,-0.072 ,0.189 ,0.167 ,0.090 ,-0.155 ,-0.070 ,0.364 ,0,0,0,0,0,0,0,0,0
NM_130892,Rtn4ip1,-,-,-,-,-,0.023 ,0.040 ,0.224 ,-0.235 ,-0.859 ,0,0,0,0,0,0,0,0,0
NM_009200,Slc1a6,-,-,-,-,-,-0.054 ,0.179 ,-0.053 ,-0.262 ,0.042 ,0,1,0,0,0,0,0,0,0
NM_133964,Dohh,4,4,-0.025 ,-0.193 ,0.140 ,-0.036 ,0.026 ,0.277 ,0.102 ,-1.860 ,0,0,0,0,0,0,0,0,0
NM_024286,Popdc3,-,-,-,-,-,0.012 ,0.117 ,0.235 ,-0.082 ,-0.198 ,0,0,0,0,0,0,1,0,0
NM_147222,Rdh19,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001113470,Ctdsp2,-,-,-,-,-,0.163 ,0.105 ,-0.219 ,0.181 ,1.079 ,0,0,0,0,0,0,0,0,0
NM_133996,Apon,-,-,-,-,-,0.061 ,0.146 ,0.080 ,0.211 ,0.002 ,0,0,0,0,0,0,0,0,0
NM_009091,Rps15,7,91,0.063 ,-0.095 ,0.200 ,0.111 ,0.038 ,-0.088 ,0.192 ,-0.395 ,0,0,0,0,0,0,0,0,0
NM_001115154,Samd3,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_029661,1700027d21rik,-,-,-,-,-,-0.124 ,0.128 ,0.153 ,-0.195 ,0.363 ,0,0,0,0,0,0,0,0,0
NM_011545,Tcf21,-,-,-,-,-,0.205 ,0.093 ,0.280 ,0.214 ,-0.109 ,0,0,0,0,0,0,0,0,0
NM_198635,Eg333669,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_011605,Tmpo,1,12,0.012 ,-0.111 ,0.050 ,-0.330 ,0.086 ,0.000 ,-0.520 ,-0.196 ,0,0,0,0,0,0,0,0,0
NM_010722,Lmnb2,10,58,0.068 ,-0.071 ,0.179 ,-0.073 ,0.016 ,0.049 ,0.043 ,-1.440 ,0,0,1,0,0,0,0,0,0
NM_177798,Frs2,-,-,-,-,-,-0.091 ,0.053 ,-0.056 ,-0.039 ,-0.417 ,0,0,1,0,0,0,0,0,0
NM_138673,Stab2,1,2,0.091 ,0.084 ,0.098 ,-0.124 ,0.191 ,0.046 ,-0.041 ,0.320 ,0,0,0,2,0,1,0,0,0
NM_011178,Prtn3,9,387,-0.057 ,-0.117 ,0.077 ,0.021 ,0.014 ,-0.002 ,0.339 ,-0.518 ,0,0,0,0,0,0,0,0,0
NM_145424,Bc089597,-,-,-,-,-,0.016 ,0.129 ,0.114 ,-0.214 ,-0.051 ,0,0,0,0,0,0,0,0,0
NM_177373,Ppfia2,-,-,-,-,-,0.098 ,0.075 ,0.050 ,0.071 ,0.122 ,0,0,0,0,0,0,0,0,0
