Protein IDs,Protein Names,Gene Names,Protein Descriptions,Uniprot,Uniprot Name,"Peptides 
sequenced",PEP,"miR-34 
seeds","miR-34a and ca
*strand seeds","miR-34c and ac
*strand seeds","Ratio H/M 
Count
miR-34a","Ratio H/M 
Count
miR-34a
Replicate1","Ratio H/M 
Count
miR-34a
Replicate2","Ratio H/M 
Count
miR-34c","Ratio H/M 
Count
miR-34c
Replicate1","Ratio H/M 
Count
miR-34ac","Ratio H/M 
Count
miR-34ca","Ratio H/M 
Normalized
miR-34a","Ratio H/M 
Normalized
miR-34a
Replicate1","Ratio H/M 
Normalized
miR-34a
Replicate2","Ratio H/M 
Normalized
miR-34c","Ratio H/M 
Normalized
miR-34c
Replicate1","Ratio H/M 
Normalized
miR-34ac","Ratio H/M 
Normalized
miR-34ca","Log2 Ratio H/M
Normalized
miR-34a","Log2 Ratio H/M
Normalized
miR-34a
Replicate1","Log2 Ratio H/M
Normalized
miR-34a
Replicate2","Log2 Ratio H/M
Normalized
miR-34c","Log2 Ratio H/M
Normalized
miR-34c
Replicate1","Log2 Ratio H/M
Normalized
miR-34ac","Log2 Ratio H/M
Normalized
miR-34ca"
IPI:IPI00291417.2;IPI:IPI00015737.1,Dephospho-CoA kinase domain-containing protein,DCAKD,Isoform 1 of Dephospho-CoA kinase domain-containing protein;Isoform 2 of Dephospho-CoA kinase domain-containing protein,Q8WVC6-1;Q8WVC6;Q8WVC6-2,DCAKD_HUMAN,8,2.56E-98,0,0,0,6,0,0,3,0,0,1,0.69274,NA,NA,1.0623,NA,NA,NA,0.529614115,NA,NA,-0.08719125,NA,NA,NA
IPI:IPI00291419.6,"Acetyl-CoA acetyltransferase, cytosolic;Cytosolic acetoacetyl-CoA thiolase;Acetyl-CoA transferase-like protein",ACAT2;ACTL,"cDNA FLJ53975, highly similar to Acetyl-CoA acetyltransferase, cytosolic",Q9BWD1;A8K4W5;B7Z233;Q59GW6,THIC_HUMAN,29,0,0,0,0,39,48,18,56,17,21,50,1.3382,1.2849,1.2219,1.2461,1.2989,0.9016,1.1226,-0.420293749,-0.361656083,-0.28912622,-0.31741985,-0.377290365,0.149440579,-0.166843964
IPI:IPI00291467.7;IPI:IPI00645646.1;IPI:IPI00455148.5,"ADP/ATP translocase 3;Adenine nucleotide translocator 2;ANT 3;ADP,ATP carrier protein 3;Solute carrier family 25 member 6;ADP,ATP carrier protein, isoform T2",SLC25A6;ANT3;CDABP0051,ADP/ATP translocase 3;17 kDa protein,P12236;Q59EI9;Q6I9V5,ADT3_HUMAN,44,0,0,0,0,51,27,16,49,20,58,79,0.92516,0.82284,0.87001,1.0262,0.90333,1.0373,0.96863,0.112225204,0.281316167,0.200896111,-0.037311931,0.146674973,-0.0528332,0.045982409
IPI:IPI00291483.3;IPI:IPI00909541.1,"Aldo-keto reductase family 1 member C3;Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase;3-alpha-hydroxysteroid dehydrogenase type 2;3-alpha-HSD type II, brain;Testosterone 17-beta-dehydrogenase 5;17-beta-hydroxysteroid dehydrogenase type 5;Prostaglandin F synthase;Indanol dehydrogenase;Dihydrodiol dehydrogenase type I;Dihydrodiol dehydrogenase 3;Chlordecone reductase homolog HAKRb;HA1753",AKR1C3;DDH1;HSD17B5;KIAA0119;PGFS,Aldo-keto reductase family 1 member C3,P42330;B4DL37;Q2XPP3,AK1C3_HUMAN,46,0,0,0,0,135,62,36,141,46,99,143,2.0345,1.7248,1.5589,1.0781,0.7144,0.7901,1.7689,-1.02467428,-0.786429083,-0.640528385,-0.108491003,0.485196014,0.339892834,-0.822852491
IPI:IPI00291510.3;IPI:IPI00925196.1;IPI:IPI00795859.1;IPI:IPI00924999.1,Inosine-5'-monophosphate dehydrogenase 2;IMPDH-II;IMPD 2;IMP dehydrogenase 2,IMPDH2;IMPD2,Inosine-5'-monophosphate dehydrogenase 2;Protein;IMP dehydrogenase 2;31 kDa protein,P12268;B7Z1G4;Q6QE17,IMDH2_HUMAN;Q6QE17_HUMAN,53,0,0,0,0,75,134,43,50,44,159,211,0.90519,0.95688,0.94756,0.99125,0.98873,0.93003,0.93417,0.143707448,0.063590084,0.077710796,0.012679134,0.016351488,0.104650841,0.09824298
IPI:IPI00291525.1,"Dimethyladenosine transferase 1, mitochondrial;S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase 1;Mitochondrial 12S rRNA dimethylase 1;Mitochondrial transcription factor B1",TFB1M;CGI-75,"Dimethyladenosine transferase 1, mitochondrial",Q8WVM0;A8K0B9,TFB1M_HUMAN,18,1.11E-173,0,0,0,5,5,2,8,2,1,3,0.68305,0.77939,0.84147,0.74476,0.88686,NA,0.91267,0.549936906,0.359582674,0.249016257,0.425152505,0.173221717,NA,0.131834785
IPI:IPI00291570.9;IPI:IPI00216410.1;IPI:IPI00018345.6;IPI:IPI00917270.1,Caspase-2;ICH-1 protease;Neural precursor cell expressed developmentally down-regulated protein 2;Caspase-2 subunit p18;Caspase-2 subunit p13;Caspase-2 subunit p12,CASP2;ICH1;NEDD2,Isoform ICH-1L of Caspase-2;Isoform ICH-1S of Caspase-2,P42575-1;P42575;A8K5F9;B4E085;B4E0I5;P42575-2,CASP2_HUMAN,4,4.50E-22,1,0,0,0,1,0,2,0,0,0,NA,NA,NA,0.87642,NA,NA,NA,NA,NA,NA,0.190305688,NA,NA,NA
IPI:IPI00797603.1;IPI:IPI00291578.7;IPI:IPI00924809.1;IPI:IPI00925025.1;IPI:IPI00925704.1;IPI:IPI00925241.1,"Phosphoribosyl pyrophosphate synthetase-associated protein 1;39 kDa phosphoribosypyrophosphate synthetase-associated protein;cDNA FLJ57408, highly similar to Phosphoribosyl pyrophosphatesynthetase-associated protein 1",PRPSAP1,"phosphoribosyl pyrophosphate synthetase-associated protein 1;Phosphoribosyl pyrophosphate synthetase-associated protein 1;cDNA FLJ57408, highly similar to Phosphoribosyl pyrophosphatesynthetase-associated protein 1",Q14558;B2R6M4;B4DP31,KPRA_HUMAN;B4DP31_HUMAN,19,0,0,0,0,38,23,10,41,3,9,17,0.91369,0.88932,0.81948,0.95369,0.81575,0.93773,0.89659,0.130223329,0.169225464,0.287219355,0.068407705,0.293801013,0.092755507,0.157479686
IPI:IPI00873577.1;IPI:IPI00291579.7;IPI:IPI00293884.6,Putative uncharacterized protein KIF23;Kinesin-like protein KIF23;Mitotic kinesin-like protein 1;Kinesin-like protein 5,KIF23;KNSL5;MKLP1,Putative uncharacterized protein KIF23 (Fragment);Isoform 1 of Kinesin-like protein KIF23;Isoform 2 of Kinesin-like protein KIF23,A8MTR8;Q02241-1;Q02241;Q02241-2;B4E1K0,A8MTR8_HUMAN;KIF23_HUMAN,27,0,0,0,0,17,2,2,6,1,5,8,0.89396,0.98915,0.9761,1.1961,NA,0.99639,1.0999,0.161717815,0.015738779,0.034899138,-0.258338011,NA,0.005217552,-0.137372364
IPI:IPI00291607.2,"Inositol 1,4,5-trisphosphate receptor type 3;Type 3 inositol 1,4,5-trisphosphate receptor;Type 3 InsP3 receptor;IP3 receptor isoform 3;InsP3R3",ITPR3,"Inositol 1,4,5-trisphosphate receptor type 3",Q14573;A6H8K3;Q59ES2,ITPR3_HUMAN,85,0,1,0,0,46,13,31,45,10,20,9,1.0059,1.0839,0.95187,0.926,0.99633,1.1895,1.0383,-0.008486889,-0.116231661,0.071163541,0.110915901,0.00530443,-0.250355272,-0.054223347
IPI:IPI00291608.4;IPI:IPI00796456.1;IPI:IPI00060650.3;IPI:IPI00604582.1;IPI:IPI00879617.1,PEST proteolytic signal-containing nuclear protein,PCNP,Isoform 1 of PEST proteolytic signal-containing nuclear protein;19 kDa protein;Isoform 2 of PEST proteolytic signal-containing nuclear protein,Q8WW12-1;Q8WW12;Q53GF3;Q8WW12-2,PCNP_HUMAN,12,2.98E-53,0,0,0,7,3,1,6,7,3,8,0.87074,0.89644,NA,1.037,0.87882,1.019,1.032,0.199686096,0.15772107,NA,-0.052415894,0.186360392,-0.027154052,-0.045442971
IPI:IPI00291643.3,SPRY domain-containing protein 4,SPRYD4,SPRY domain-containing protein 4,Q8WW59;A8K7A5;B4DUC9,SPRY4_HUMAN,12,8.79E-120,1,1,0,12,0,0,3,0,0,1,1.4996,NA,NA,1.2739,NA,NA,NA,-0.584577731,NA,NA,-0.349252032,NA,NA,NA
IPI:IPI00291646.3;IPI:IPI00939493.1;IPI:IPI00644940.1;IPI:IPI00643337.1;IPI:IPI00884217.3;IPI:IPI00374525.4;IPI:IPI00643937.3;IPI:IPI00646698.1,"MTHFD1L protein;Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like;Monofunctional C1-tetrahydrofolate synthase, mitochondrial;Formyltetrahydrofolate synthetase",MTHFD1L;FTHFSDC1,"Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like;Isoform 1 of Monofunctional C1-tetrahydrofolate synthase, mitochondrial",B7ZM99;Q5JYA1;Q6UB35-1;Q6UB35;B2RD24,B7ZM99_HUMAN;C1TM_HUMAN,50,0,0,0,0,44,42,33,34,19,28,52,0.95755,0.97007,0.97344,1.0842,0.88028,1.0261,1.0188,0.062580273,0.043839239,0.038836037,-0.116630912,0.183965605,-0.037171338,-0.026870865
IPI:IPI00291669.3,Ubiquitin-like domain-containing CTD phosphatase 1,UBLCP1,Ubiquitin-like domain-containing CTD phosphatase 1,Q8WVY7,UBCP1_HUMAN,26,5.97E-238,0,0,0,25,14,3,23,4,2,12,0.68673,0.86113,0.87729,0.85179,1.1039,1.0112,0.95585,0.542185105,0.215697045,0.188874271,0.231430302,-0.142609487,-0.016068369,0.065143859
IPI:IPI00291695.3;IPI:IPI00910821.1,Probable glutathione peroxidase 8;Glutathione peroxidase,GPX8;UNQ847/PRO1785,Probable glutathione peroxidase 8;Glutathione peroxidase,Q8TED1;B4DPY0,GPX8_HUMAN;B4DPY0_HUMAN,17,1.62E-154,1,0,2,30,1,1,18,18,16,27,1.0173,NA,NA,1.0384,0.96155,0.94862,0.94719,-0.02474519,NA,NA,-0.054362288,0.056566216,0.076097809,0.078274245
IPI:IPI00291751.6;IPI:IPI00927477.1,"Uncharacterized protein C2orf47, mitochondrial",C2orf47,"Uncharacterized protein C2orf47, mitochondrial;Protein",Q8WWC4,CB047_HUMAN,12,2.26E-104,0,0,0,14,4,1,13,2,6,16,0.8528,0.65959,NA,0.89251,0.83995,0.90727,1.0594,0.229720657,0.600358569,NA,0.164059761,0.251624644,0.14039614,-0.083247414
IPI:IPI00291755.6;IPI:IPI00871723.1,Nuclear pore membrane glycoprotein 210,NUP210;KIAA0906;PSEC0245,Isoform 1 of Nuclear pore membrane glycoprotein 210,Q8TEM1-1;Q8TEM1,PO210_HUMAN,54,0,2,0,0,61,15,20,60,16,20,21,2.2719,1.625,2.0841,1.1969,0.99668,1.6146,1.3703,-1.183899335,-0.700439718,-1.059424503,-0.259302621,0.004797716,-0.691176797,-0.454491777
IPI:IPI00291783.3,Gem-associated protein 5,GEMIN5,Gem-associated protein 5,Q8TEQ6;B7ZLC9;Q58EZ8,GEMI5_HUMAN,72,0,1,0,0,106,29,51,46,27,35,43,0.87913,0.93161,1.0127,0.95807,0.9701,1.073,0.89316,0.185851577,0.102201969,-0.018206857,0.061797027,0.043794624,-0.101650076,0.163009453
IPI:IPI00291802.3;IPI:IPI00409590.1;IPI:IPI00409591.1;IPI:IPI00409593.1;IPI:IPI00552510.2;IPI:IPI00641430.1,LIM domain only protein 7;F-box only protein 20;LIM domain 7,LMO7;FBX20;FBXO20;KIAA0858;RP11-332E3.3-003,Isoform 3 of LIM domain only protein 7;Isoform 1 of LIM domain only protein 7;Isoform 2 of LIM domain only protein 7;Isoform 4 of LIM domain only protein 7;LIM domain 7,Q8WWI1-3;Q8WWI1;B7Z8W3;Q5TBK6;Q8WWI1-1;Q8WWI1-2;Q8WWI1-4;B1AL98,LMO7_HUMAN;B1AL98_HUMAN,51,0,0,0,1,61,44,9,8,10,5,9,0.97992,1.2195,1.0918,0.90125,1.2522,1.1994,1.2249,0.029264121,-0.286289758,-0.126708602,0.150000741,-0.324465006,-0.262312878,-0.292663973
IPI:IPI00737251.2;IPI:IPI00646709.1;IPI:IPI00291901.1,Interferon regulatory factor 3 nirs variant 1;IRF3 protein;Interferon regulatory factor 3,IRF3,"Interferon regulatory factor 3, isoform CRA_b;IRF3 protein;Interferon regulatory factor 3",Q5FBY4;Q71U93;Q96GL3;Q7Z5G6;Q14653;A8K7L2;B2RAZ3,Q5FBY4_HUMAN;Q7Z5G6_HUMAN;IRF3_HUMAN,2,6.35E-07,0,0,0,0,1,0,2,0,0,0,NA,NA,NA,0.59819,NA,NA,NA,NA,NA,NA,0.741324302,NA,NA,NA
IPI:IPI00291916.5;IPI:IPI00385943.2;IPI:IPI00654620.3;IPI:IPI00892955.1;IPI:IPI00894220.1;IPI:IPI00892735.1;IPI:IPI00894482.2,PH-interacting protein;IRS-1 PH domain-binding protein;WD repeat-containing protein 11,PHIP;WDR11,PH-interacting protein,Q8WWQ0;A7J992;Q9NWP3,PHIP_HUMAN,31,4.61E-188,0,3,0,2,1,0,1,1,0,0,1.1421,NA,NA,NA,NA,NA,NA,-0.191688976,NA,NA,NA,NA,NA,NA
IPI:IPI00291922.2,Proteasome subunit alpha type-5;Proteasome zeta chain;Macropain zeta chain;Multicatalytic endopeptidase complex zeta chain,PSMA5,Proteasome subunit alpha type-5,P28066;B2R8F6;B4E2V4;Q5U0A0,PSA5_HUMAN,21,0,0,0,0,37,7,6,33,19,74,106,0.8713,0.82247,0.87638,0.97396,0.92597,0.89537,0.94654,0.198758552,0.281965038,0.190371534,0.038065572,0.110962642,0.159444114,0.079264621
IPI:IPI00291928.8;IPI:IPI00646415.1,Ras-related protein Rab-14,RAB14,Ras-related protein Rab-14;20 kDa protein,P61106;B3KR31,RAB14_HUMAN,25,0,1,1,3,69,1,2,61,27,50,79,0.93704,NA,0.84872,0.90053,0.88114,0.84694,0.97458,0.09381746,NA,0.23663942,0.151153756,0.182556835,0.239668327,0.037147479
IPI:IPI00291930.6;IPI:IPI00397519.3;IPI:IPI00939839.1,Clathrin interactor 1;Epsin-4;Epsin-related protein;Enthoprotin;Clathrin-interacting protein localized in the trans-Golgi region,CLINT1;ENTH;EPN4;EPNR;KIAA0171,"cDNA FLJ61629, highly similar to Clathrin interactor 1;Isoform 2 of Clathrin interactor 1;68 kDa protein",Q14677-1;Q14677;B7Z6F8;Q14677-2,EPN4_HUMAN,22,2.61E-210,0,0,0,32,4,6,4,4,8,15,0.91764,1.0001,1.0064,0.9991,1.1319,0.97397,0.96139,0.123999815,-0.000144262,-0.009203827,0.00129901,-0.178746506,0.038050759,0.056806298
IPI:IPI00291939.1;IPI:IPI00922333.1;IPI:IPI00553151.2;IPI:IPI00385082.1,Structural maintenance of chromosomes protein 1A;SMC1alpha protein;Sb1.8,SMC1A;DXS423E;KIAA0178;SB1.8;SMC1;SMC1L1,Structural maintenance of chromosomes protein 1A,Q14683;A8K7A6;Q68EN4;Q6MZR8;Q6P2R1,SMC1A_HUMAN,111,0,4,0,0,116,103,60,32,38,25,31,0.9796,0.90724,0.88314,1.0812,0.85849,0.95281,0.96213,0.029735321,0.140443845,0.179285935,-0.112633417,0.220126766,0.06973954,0.055696255
IPI:IPI00291946.9;IPI:IPI00941385.1;IPI:IPI00909971.1,Ubiquitin carboxyl-terminal hydrolase 10;Ubiquitin thioesterase 10;Ubiquitin-specific-processing protease 10;Deubiquitinating enzyme 10;Ubiquitin carboxyl-terminal hydrolase,USP10;KIAA0190,Ubiquitin carboxyl-terminal hydrolase 10;Ubiquitin carboxyl-terminal hydrolase,Q14694;Q6P2I0;B4DS84,UBP10_HUMAN;B4DS84_HUMAN,22,0,0,1,1,16,11,10,12,3,11,12,0.91257,0.70715,0.854,1.1958,1.1827,0.99458,1.0021,0.131992868,0.499911824,0.227692025,-0.257976116,-0.242084171,0.007840675,-0.003026483
IPI:IPI00291972.2;IPI:IPI00641912.1;IPI:IPI00383312.2;IPI:IPI00651757.1,Reticulon-4-interacting protein 1;NOGO-interacting mitochondrial protein,RTN4IP1;NIMP,"Isoform 1 of Reticulon-4-interacting protein 1, mitochondrial;NOGO-interacting mitochondrial protein;Isoform 2 of Reticulon-4-interacting protein 1, mitochondrial;Isoform 3 of Reticulon-4-interacting protein 1, mitochondrial",Q8WWV3-1;Q8WWV3;B2R9Y1;Q96RL8;Q8WWV3-2;Q8WWV3-3,RT4I1_HUMAN;Q96RL8_HUMAN,5,1.49E-06,1,2,0,0,0,1,2,0,1,0,NA,NA,NA,1.0263,NA,NA,NA,NA,NA,NA,-0.03745251,NA,NA,NA
IPI:IPI00292000.6;IPI:IPI00657721.1;IPI:IPI00738596.2;IPI:IPI00167198.6;IPI:IPI00939863.1;IPI:IPI00657783.1;IPI:IPI00657750.1,U4/U6 small nuclear ribonucleoprotein Prp31;Pre-mRNA-processing factor 31;U4/U6 snRNP 61 kDa protein;Serologically defined breast cancer antigen NY-BR-99,PRPF31;PRP31,"Isoform 1 of U4/U6 small nuclear ribonucleoprotein Prp31;55 kDa protein;cDNA FLJ59251, highly similar to U4/U6 small nuclear ribonucleoprotein Prp31;Isoform 2 of U4/U6 small nuclear ribonucleoprotein Prp31;31 kDa protein;31 kDa protein;29 kDa protein",Q8WWY3-1;Q8WWY3;Q8WWY3-3;B4DWW8;Q2EKB9;Q8WWY3-2,PRP31_HUMAN,20,0,1,0,0,22,13,10,13,6,3,8,0.94454,0.98538,1.0182,1.046,1.0611,1.2377,0.98589,0.082316201,0.021247905,-0.026020971,-0.064882852,-0.085560625,-0.307661669,0.020501407
IPI:IPI00292020.3,Spermidine synthase;Putrescine aminopropyltransferase,SRM;SPS1;SRML1,Spermidine synthase,P19623;B1AKP9,SPEE_HUMAN,26,0,0,0,0,48,21,15,52,24,57,91,1.0068,1.1419,1.1484,0.92467,0.88546,1.0488,0.98219,-0.009777122,-0.191436315,-0.199625236,0.112989512,0.175500959,-0.068739591,0.025925961
IPI:IPI00292059.2;IPI:IPI00910194.1,"Nuclear pore complex protein Nup153;Nucleoporin Nup153;153 kDa nucleoporin;cDNA FLJ60565, highly similar to Nuclear pore complex protein Nup153",NUP153,"Nuclear pore complex protein Nup153;cDNA FLJ60565, highly similar to Nuclear pore complex protein Nup153",P49790;Q4LE47;B4DIK2;Q7Z743,NU153_HUMAN;B4DIK2_HUMAN,39,0,0,2,1,31,15,16,5,10,3,3,1.2943,1.1839,1.3651,1.5093,1.3521,1.0949,1.0848,-0.372172052,-0.243547227,-0.449006639,-0.593879595,-0.435201856,-0.130799111,-0.117429084
IPI:IPI00292134.6;IPI:IPI00385325.2;IPI:IPI00916208.1;IPI:IPI00902474.1;IPI:IPI00640127.1,Epidermal growth factor receptor substrate 15;Protein AF-1p;Putative uncharacterized protein EPS15,EPS15;AF1P,Isoform 1 of Epidermal growth factor receptor substrate 15;Epidermal growth factor receptor pathway substrate 15,P42566-1;P42566;A8MWB7;B1AUU8;Q7Z5V0,EPS15_HUMAN;A8MWB7_HUMAN,17,0,0,0,0,13,2,1,5,0,0,2,0.74029,0.71346,NA,1.0171,NA,NA,1.0477,0.433837554,0.487095547,NA,-0.02446153,NA,NA,-0.067225673
IPI:IPI00292135.1;IPI:IPI00647596.1;IPI:IPI00645733.3;IPI:IPI00646282.1;IPI:IPI00640536.1,Lamin-B receptor;Integral nuclear envelope inner membrane protein;LMN2R,LBR,Lamin-B receptor;24 kDa protein,Q14739;B2R5P3,LBR_HUMAN,16,1.38E-265,0,0,0,25,20,2,2,4,8,10,0.71828,0.67451,0.68261,0.69442,0.68255,0.79101,0.84302,0.47738175,0.568088263,0.550866545,0.526119595,0.550993361,0.338232161,0.246361236
IPI:IPI00292140.4,Caspase-3;Apopain;Cysteine protease CPP32;Yama protein;SREBP cleavage activity 1;Caspase-3 subunit p17;Caspase-3 subunit p12,CASP3;CPP32,Caspase-3,P42574;A8K5M2,CASP3_HUMAN,13,2.32E-239,0,0,0,12,3,1,10,1,0,2,0.71484,0.65059,NA,0.77921,NA,NA,0.96957,0.48430773,0.620179448,NA,0.359915903,NA,NA,0.044583035
IPI:IPI00292168.3,Histone chaperone ASF1A;Anti-silencing function protein 1 homolog A;CCG1-interacting factor A,ASF1A;CGI-98;HSPC146,Histone chaperone ASF1A,Q9Y294;B9DI73,ASF1A_HUMAN,4,1.14E-83,0,0,0,2,0,0,1,0,0,1,1.1009,NA,NA,NA,NA,NA,NA,-0.138683428,NA,NA,NA,NA,NA,NA
IPI:IPI00292228.1;IPI:IPI00880060.1,Glycogen synthase kinase-3 alpha;Putative uncharacterized protein GSK3A,GSK3A,Glycogen synthase kinase-3 alpha;Putative uncharacterized protein GSK3A,P49840;A8MT37;Q68D16,GSK3A_HUMAN;A8MT37_HUMAN,9,5.98E-45,0,0,0,13,5,1,6,0,1,2,1.3734,1.384,NA,0.9049,NA,NA,1.1573,-0.457751869,-0.468843943,NA,0.144169725,NA,NA,-0.210762894
IPI:IPI00292354.8;IPI:IPI00927509.1;IPI:IPI00926363.1;IPI:IPI00927050.1;IPI:IPI00917561.1,E3 ubiquitin-protein ligase RNF181;RING finger protein 181,RNF181;HSPC238,E3 ubiquitin-protein ligase RNF181;Protein;16 kDa protein;12 kDa protein;9 kDa protein,Q9P0P0,RN181_HUMAN,3,4.70E-08,0,0,0,2,0,1,1,2,0,1,0.90832,NA,NA,NA,0.92677,NA,NA,0.138727448,NA,NA,NA,0.109716751,NA,NA
IPI:IPI00292376.4;IPI:IPI00908864.2,"GEM-interacting protein;cDNA FLJ56574, highly similar to GEM-interacting protein",GMIP,GEM-interacting protein;GMIP protein,Q9P107;B4DLZ1;B7ZLZ0,GMIP_HUMAN;B4DLZ1_HUMAN,2,5.92E-40,1,1,0,2,0,0,0,0,0,1,1.1099,NA,NA,NA,NA,NA,NA,-0.150429698,NA,NA,NA,NA,NA,NA
IPI:IPI00292499.4;IPI:IPI00646895.1;IPI:IPI00641176.1;IPI:IPI00439715.1,Heat shock 70 kDa protein 14;Heat shock protein HSP60;HSP70-like protein 1,HSPA14;HSP60;HSP70L1,Heat shock 70 kDa protein 14,Q0VDF9;A8K8F8;B0YIY9;B4DYI5,HSP7E_HUMAN,21,0,0,0,0,25,10,3,6,2,1,6,0.65983,0.70109,0.7168,0.8101,0.72753,NA,0.90511,0.599833722,0.512328438,0.480357457,0.303828087,0.458921356,NA,0.143834958
IPI:IPI00292537.3;IPI:IPI00788987.1,Nuclear factor NF-kappa-B p105 subunit;DNA-binding factor KBF1;EBP-1;Nuclear factor NF-kappa-B p50 subunit,NFKB1,Isoform 2 of Nuclear factor NF-kappa-B p105 subunit;Isoform 1 of Nuclear factor NF-kappa-B p105 subunit,P19838-2;P19838;A8K5Y5;P19838-1;B3KVE8,NFKB1_HUMAN,8,5.91E-12,0,0,0,2,2,0,3,0,0,0,0.71469,0.83875,NA,0.92875,NA,NA,NA,0.484610493,0.253687234,NA,0.106637789,NA,NA,NA
IPI:IPI00292550.2;IPI:IPI00791020.1;IPI:IPI00455152.2;IPI:IPI00916025.1,Polypeptide N-acetylgalactosaminyltransferase 13;Polypeptide GalNAc transferase 13;Protein-UDP acetylgalactosaminyltransferase 13;UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 13;GALNT13 protein,GALNT13;KIAA1918,Isoform 1 of Polypeptide N-acetylgalactosaminyltransferase 13;GALNT13 protein;Isoform 2 of Polypeptide N-acetylgalactosaminyltransferase 13,Q8IUC8-1;Q8IUC8;B3KY85;Q68VI8;Q08ER7;Q8IUC8-2,GLT13_HUMAN;Q08ER7_HUMAN,8,1.47E-28,0,0,0,2,1,0,0,0,0,0,1.4118,NA,NA,NA,NA,NA,NA,-0.497535726,NA,NA,NA,NA,NA,NA
IPI:IPI00292601.1;IPI:IPI00220956.2;IPI:IPI00642203.1;IPI:IPI00644012.1;IPI:IPI00647175.1;IPI:IPI00644603.1;IPI:IPI00647512.1;IPI:IPI00642628.1;IPI:IPI00643733.1,Myotubularin-related protein 1,MTMR1,Isoform 1 of Myotubularin-related protein 1;Isoform 1A of Myotubularin-related protein 1;36 kDa protein,Q13613-1;Q13613;B7Z3D5;Q13613-2;A6NCG3;Q8NEC6,MTMR1_HUMAN,12,6.64E-58,0,1,0,5,0,0,2,0,0,1,1.1496,NA,NA,0.8433,NA,NA,NA,-0.201131967,NA,NA,0.24588214,NA,NA,NA
IPI:IPI00292657.3;IPI:IPI00642248.2;IPI:IPI00164901.2;IPI:IPI00643630.1,"Prostaglandin reductase 1;NADP-dependent leukotriene B4 12-hydroxydehydrogenase;15-oxoprostaglandin 13-reductase;cDNA FLJ59730, highly similar to NADP-dependent leukotriene B412-hydroxydehydrogenase (EC 1.3.1.74)",PTGR1;LTB4DH;RP11-16L21.1-004;hCG_28760,Prostaglandin reductase 1;prostaglandin reductase 1 isoform 2,Q14914;A8K0N2;B4DPK3;Q5JVP3,PTGR1_HUMAN;B4DPK3_HUMAN,26,0,0,0,0,61,11,2,36,9,20,28,1.3641,1.3182,1.3129,1.021,0.85897,0.83898,1.202,-0.44794941,-0.398569276,-0.392757034,-0.029982866,0.21932035,0.253291675,-0.265436896
IPI:IPI00292753.7;IPI:IPI00888069.1;IPI:IPI00873087.1;IPI:IPI00302156.6;IPI:IPI00883910.1;IPI:IPI00852719.3;IPI:IPI00902869.1;IPI:IPI00853447.2;IPI:IPI00902469.1;REV_IPI:IPI00916880.1,GTPase-activating protein and VPS9 domain-containing protein 1;Rab5-activating protein 6;GAPex-5,GAPVD1;GAPEX5;KIAA1521;RAP6,Isoform 6 of GTPase-activating protein and VPS9 domain-containing protein 1;Isoform 1 of GTPase-activating protein and VPS9 domain-containing protein 1;Isoform 2 of GTPase-activating protein and VPS9 domain-containing protein 1;Isoform 5 of GTPase-activati,Q14C86-6;Q14C86;B0QZ65;Q14C86-1;Q14C86-2;B0QZ63;B4DK42;Q14C86-5;B0QZ66;Q14C86-4;B0QZ64;B3KN67;Q14C86-3;B0QZ62;B4DGD8;B5MDH9,GAPD1_HUMAN,57,0,0,0,1,80,34,31,22,12,14,16,0.64688,0.69656,0.6905,1.2335,1.2592,0.99726,0.68867,0.628429986,0.521680466,0.53428668,-0.302757716,-0.332507446,0.00395841,0.538115264
IPI:IPI00872028.2;IPI:IPI00292771.4,NUMA1 variant protein;Nuclear mitotic apparatus protein 1;SP-H antigen,NUMA1 variant protein;NUMA1;NUMA,NUMA1 variant protein (Fragment);Isoform 1 of Nuclear mitotic apparatus protein 1,Q4LE64;Q14980-1;Q14980,Q4LE64_HUMAN;NUMA1_HUMAN,162,0,0,1,0,170,153,87,130,55,49,66,1.0866,0.99958,1.0252,0.99027,0.90061,1.0342,0.96144,-0.119820952,0.000606059,-0.035905384,0.014106161,0.151025598,-0.04851521,0.056731268
IPI:IPI00292787.6,Actin-related protein 5;Sarcoma antigen NY-SAR-16,ACTR5;ARP5,Actin-related protein 5,Q9H9F9,ARP5_HUMAN,9,3.63E-23,1,1,0,2,0,0,1,1,0,0,1.95,NA,NA,NA,NA,NA,NA,-0.963474124,NA,NA,NA,NA,NA,NA
